symbol,direction,_tickSize,qty,buyPrice,sellPrice,priceSpread,pnl,commisions,netPNL,runningNetPNL,boughtTimestamp,soldTimestamp,duration
MNQH2,Short,0.25,1,14365.25,14365,-0.25,,-1.32,0.8200000000000001,454.7300000000568,2022-02-14T12:35:04Z,2022-02-14T12:29:07Z,5m56s
MNQH2,Short,0.25,1,14365.25,14365,-0.25,,-1.32,0.8200000000000001,455.5500000000568,2022-02-14T12:35:04Z,2022-02-14T12:29:07Z,5m56s
MNQH2,Short,0.25,1,14353,14353,0,,-1.32,1.32,456.8700000000568,2022-02-14T12:36:04Z,2022-02-14T12:35:18Z,45s
MNQH2,Short,0.25,1,14353,14353,0,,-1.32,1.32,458.1900000000568,2022-02-14T12:36:04Z,2022-02-14T12:35:18Z,45s
MNQH2,Short,0.25,2,14337.25,14344,6.75,,-2.64,29.64,487.83000000005677,2022-02-14T12:40:08Z,2022-02-14T12:36:31Z,3m36s
MNQH2,Short,0.25,1,14354.5,14346.5,-8,,-1.32,-14.68,473.15000000005676,2022-02-14T12:45:44Z,2022-02-14T12:43:04Z,2m40s
MNQH2,Short,0.25,1,14354.5,14346.25,-8.25,,-1.32,-15.18,457.97000000005676,2022-02-14T12:45:44Z,2022-02-14T12:43:04Z,2m40s
MNQH2,Short,0.25,1,14354,14349,-5,,-1.32,-8.68,449.29000000005675,2022-02-14T12:48:23Z,2022-02-14T12:45:58Z,2m25s
MNQH2,Short,0.25,1,14354,14349,-5,,-1.32,-8.68,440.61000000005674,2022-02-14T12:48:23Z,2022-02-14T12:45:58Z,2m25s
MNQH2,Short,0.25,1,14356,14345.25,-10.75,,-1.32,-20.18,420.43000000005674,2022-02-14T12:50:02Z,2022-02-14T12:48:51Z,1m11s
MNQH2,Short,0.25,1,14356,14345.25,-10.75,,-1.32,-20.18,400.25000000005673,2022-02-14T12:50:02Z,2022-02-14T12:48:51Z,1m11s
MNQH2,Short,0.25,1,14354.25,14354.25,0,,-1.32,1.32,401.5700000000567,2022-02-14T13:01:24Z,2022-02-14T12:50:11Z,11m12s
MNQH2,Short,0.25,1,14354.25,14354.25,0,,-1.32,1.32,402.8900000000567,2022-02-14T13:01:24Z,2022-02-14T12:50:11Z,11m12s
MNQH2,Short,0.25,1,14354.25,14353.75,-0.5,,-1.32,0.32000000000000006,403.2100000000567,2022-02-14T13:07:23Z,2022-02-14T13:02:01Z,5m22s
MNQH2,Short,0.25,1,14354.25,14353.75,-0.5,,-1.32,0.32000000000000006,403.5300000000567,2022-02-14T13:07:23Z,2022-02-14T13:02:01Z,5m22s
MNQH2,Short,0.25,1,14354.25,14340.5,-13.75,,-1.32,-26.18,377.3500000000567,2022-02-14T13:12:09Z,2022-02-14T13:07:41Z,4m27s
MNQH2,Short,0.25,1,14354.25,14340.5,-13.75,,-1.32,-26.18,351.1700000000567,2022-02-14T13:12:09Z,2022-02-14T13:07:41Z,4m27s
MNQH2,Short,0.25,1,14356.5,14346.5,-10,,-1.32,-18.68,332.4900000000567,2022-02-14T13:15:02Z,2022-02-14T13:12:38Z,2m23s
MNQH2,Short,0.25,1,14356.5,14346.5,-10,,-1.32,-18.68,313.8100000000567,2022-02-14T13:15:02Z,2022-02-14T13:12:38Z,2m23s
MNQH2,Short,0.25,1,14357.25,14357,-0.25,,-1.32,0.8200000000000001,314.63000000005667,2022-02-14T13:29:39Z,2022-02-14T13:15:52Z,13m47s
MNQH2,Short,0.25,1,14357.25,14357,-0.25,,-1.32,0.8200000000000001,315.45000000005666,2022-02-14T13:29:39Z,2022-02-14T13:15:52Z,13m47s
MNQH2,Short,0.25,1,14362.75,14362.75,0,,-1.32,1.32,316.77000000005665,2022-02-14T13:42:28Z,2022-02-14T13:41:08Z,1m19s
